jurisdiction,schools_universities,travel_restrictions,public_events,sport,lockdown,social_distancing_encouraged,self_isolating_if_ill
BC,2020-03-17,2020-03-12,2020-03-15,2020-05-31,2020-05-31,2020-03-26,2020-05-31
AB,2020-03-15,2020-03-12,2020-03-27,2020-05-31,2020-05-31,2020-03-28,2020-03-25
SK,2020-03-20,2020-03-18,2020-03-26,2020-05-31,2020-05-31,2020-03-20,2020-05-31
MB,2020-03-23,2020-03-23,2020-03-30,2020-05-31,2020-05-31,2020-03-30,2020-05-31
ON,2020-03-12,2020-03-13,2020-03-16,2020-05-31,2020-05-31,2020-04-03,2020-05-31
QC,2020-03-22,2020-03-19,2020-03-24,2020-05-31,2020-05-31,2020-03-30,2020-05-31
NB,2020-03-19,2020-03-14,2020-03-19,2020-05-31,2020-05-31,2020-03-31,2020-05-31
NL,2020-03-16,2020-03-14,2020-03-30,2020-05-31,2020-05-31,2020-03-29,2020-05-31
NS,2020-03-15,2020-05-31,2020-03-22,2020-05-31,2020-05-31,2020-05-31,2020-05-31
PE,2020-03-20,2020-03-13,2020-03-31,2020-05-31,2020-05-31,2020-05-31,2020-05-31
YK,2020-03-18,2020-03-22,2020-03-22,2020-05-31,2020-05-31,2020-03-22,2020-05-31
NT,2020-03-16,2020-03-14,2020-03-22,2020-05-31,2020-05-31,2020-03-31,2020-05-31
NV,2020-03-17,2020-03-13,2020-03-23,2020-05-31,2020-05-31,2020-03-25,2020-05-31
