"census.year","jurisdiction","age.group","total","male","female"
2016,"Newfoundland and Labrador","Under 1 year",4260,2210,2045
2016,"Newfoundland and Labrador","1",4345,2190,2155
2016,"Newfoundland and Labrador","2",4640,2405,2235
2016,"Newfoundland and Labrador","3",4475,2275,2200
2016,"Newfoundland and Labrador","4",4640,2345,2295
2016,"Newfoundland and Labrador","5",4990,2545,2450
2016,"Newfoundland and Labrador","6",5305,2775,2530
2016,"Newfoundland and Labrador","7",5300,2715,2580
2016,"Newfoundland and Labrador","8",5305,2685,2620
2016,"Newfoundland and Labrador","9",5145,2715,2435
2016,"Newfoundland and Labrador","10",5195,2675,2525
2016,"Newfoundland and Labrador","11",5100,2610,2490
2016,"Newfoundland and Labrador","12",5240,2705,2535
2016,"Newfoundland and Labrador","13",5215,2620,2595
2016,"Newfoundland and Labrador","14",5285,2730,2555
2016,"Newfoundland and Labrador","15",5270,2730,2540
2016,"Newfoundland and Labrador","16",5540,2835,2705
2016,"Newfoundland and Labrador","17",5455,2790,2660
2016,"Newfoundland and Labrador","18",5525,2835,2685
2016,"Newfoundland and Labrador","19",5465,2785,2680
2016,"Newfoundland and Labrador","20",5545,2775,2775
2016,"Newfoundland and Labrador","21",5565,2820,2745
2016,"Newfoundland and Labrador","22",5500,2835,2665
2016,"Newfoundland and Labrador","23",5495,2760,2740
2016,"Newfoundland and Labrador","24",5595,2735,2860
2016,"Newfoundland and Labrador","25",5750,2935,2815
2016,"Newfoundland and Labrador","26",5955,2980,2970
2016,"Newfoundland and Labrador","27",5470,2790,2685
2016,"Newfoundland and Labrador","28",5525,2685,2840
2016,"Newfoundland and Labrador","29",5545,2700,2845
2016,"Newfoundland and Labrador","30",5740,2760,2985
2016,"Newfoundland and Labrador","31",5835,2870,2965
2016,"Newfoundland and Labrador","32",5910,2840,3065
2016,"Newfoundland and Labrador","33",5945,2845,3100
2016,"Newfoundland and Labrador","34",5970,2870,3100
2016,"Newfoundland and Labrador","35",5960,2795,3165
2016,"Newfoundland and Labrador","36",6165,2890,3275
2016,"Newfoundland and Labrador","37",6015,2920,3100
2016,"Newfoundland and Labrador","38",6250,2940,3310
2016,"Newfoundland and Labrador","39",6350,3015,3335
2016,"Newfoundland and Labrador","40",6540,3240,3305
2016,"Newfoundland and Labrador","41",6780,3315,3465
2016,"Newfoundland and Labrador","42",6770,3250,3520
2016,"Newfoundland and Labrador","43",6980,3315,3660
2016,"Newfoundland and Labrador","44",7425,3615,3810
2016,"Newfoundland and Labrador","45",7505,3640,3860
2016,"Newfoundland and Labrador","46",7600,3665,3935
2016,"Newfoundland and Labrador","47",7650,3730,3920
2016,"Newfoundland and Labrador","48",7935,3845,4095
2016,"Newfoundland and Labrador","49",7980,3865,4115
2016,"Newfoundland and Labrador","50",8380,4020,4360
2016,"Newfoundland and Labrador","51",8515,4160,4365
2016,"Newfoundland and Labrador","52",8590,4205,4390
