"census.year","jurisdiction","age.group","total"
2016,"Newfoundland and Labrador","0 to 4 years",22365
2016,"Newfoundland and Labrador","5 to 9 years",26040
2016,"Newfoundland and Labrador","10 to 14 years",26035
2016,"Newfoundland and Labrador","15 to 19 years",27250
2016,"Newfoundland and Labrador","20 to 24 years",27705
2016,"Newfoundland and Labrador","25 to 29 years",28245
2016,"Newfoundland and Labrador","30 to 34 years",29405
2016,"Newfoundland and Labrador","35 to 39 years",30740
2016,"Newfoundland and Labrador","40 to 44 years",34505
2016,"Newfoundland and Labrador","45 to 49 years",38665
2016,"Newfoundland and Labrador","50 to 54 years",42620
2016,"Newfoundland and Labrador","55 to 59 years",43080
2016,"Newfoundland and Labrador","60 to 64 years",42025
2016,"Newfoundland and Labrador","65 to 69 years",37485
2016,"Newfoundland and Labrador","70 to 74 years",26170
2016,"Newfoundland and Labrador","75 to 79 years",16945
2016,"Newfoundland and Labrador","80 to 84 years",11060
2016,"Newfoundland and Labrador","85 to 89 years",6170
2016,"Newfoundland and Labrador","90 to 94 years",2485
2016,"Newfoundland and Labrador","95 to 99 years",615
2016,"Newfoundland and Labrador","100 years and over",90
2016,"Prince Edward Island","0 to 4 years",7005
2016,"Prince Edward Island","5 to 9 years",7905
2016,"Prince Edward Island","10 to 14 years",7775
2016,"Prince Edward Island","15 to 19 years",8650
2016,"Prince Edward Island","20 to 24 years",8620
2016,"Prince Edward Island","25 to 29 years",7650
2016,"Prince Edward Island","30 to 34 years",7760
2016,"Prince Edward Island","35 to 39 years",8175
2016,"Prince Edward Island","40 to 44 years",8820
2016,"Prince Edward Island","45 to 49 years",9560
2016,"Prince Edward Island","50 to 54 years",11255
2016,"Prince Edward Island","55 to 59 years",11335
2016,"Prince Edward Island","60 to 64 years",10685
2016,"Prince Edward Island","65 to 69 years",9945
2016,"Prince Edward Island","70 to 74 years",6625
2016,"Prince Edward Island","75 to 79 years",4695
2016,"Prince Edward Island","80 to 84 years",3370
2016,"Prince Edward Island","85 to 89 years",1895
2016,"Prince Edward Island","90 to 94 years",910
2016,"Prince Edward Island","95 to 99 years",250
2016,"Prince Edward Island","100 years and over",30
2016,"Nova Scotia","0 to 4 years",42005
2016,"Nova Scotia","5 to 9 years",45980
2016,"Nova Scotia","10 to 14 years",45845
2016,"Nova Scotia","15 to 19 years",51255
2016,"Nova Scotia","20 to 24 years",56155
2016,"Nova Scotia","25 to 29 years",53725
2016,"Nova Scotia","30 to 34 years",51730
2016,"Nova Scotia","35 to 39 years",52010
2016,"Nova Scotia","40 to 44 years",57050
2016,"Nova Scotia","45 to 49 years",61885
2016,"Nova Scotia","50 to 54 years",75675
2016,"Nova Scotia","55 to 59 years",76500
2016,"Nova Scotia","60 to 64 years",69960
2016,"Nova Scotia","65 to 69 years",63710
2016,"Nova Scotia","70 to 74 years",45005
2016,"Nova Scotia","75 to 79 years",31545
2016,"Nova Scotia","80 to 84 years",21910
2016,"Nova Scotia","85 to 89 years",13205
2016,"Nova Scotia","90 to 94 years",6315
2016,"Nova Scotia","95 to 99 years",1850
2016,"Nova Scotia","100 years and over",270
2016,"New Brunswick","0 to 4 years",34370
2016,"New Brunswick","5 to 9 years",38250
2016,"New Brunswick","10 to 14 years",37880
2016,"New Brunswick","15 to 19 years",40605
2016,"New Brunswick","20 to 24 years",41445
2016,"New Brunswick","25 to 29 years",39245
2016,"New Brunswick","30 to 34 years",41505
2016,"New Brunswick","35 to 39 years",44435
2016,"New Brunswick","40 to 44 years",48425
2016,"New Brunswick","45 to 49 years",51295
2016,"New Brunswick","50 to 54 years",61060
2016,"New Brunswick","55 to 59 years",61735
2016,"New Brunswick","60 to 64 years",58065
2016,"New Brunswick","65 to 69 years",52160
2016,"New Brunswick","70 to 74 years",36050
2016,"New Brunswick","75 to 79 years",25300
2016,"New Brunswick","80 to 84 years",17650
2016,"New Brunswick","85 to 89 years",10670
2016,"New Brunswick","90 to 94 years",5310
2016,"New Brunswick","95 to 99 years",1435
2016,"New Brunswick","100 years and over",210
2016,"Quebec","0 to 4 years",444930
2016,"Quebec","5 to 9 years",469165
2016,"Quebec","10 to 14 years",419155
2016,"Quebec","15 to 19 years",429825
2016,"Quebec","20 to 24 years",500095
2016,"Quebec","25 to 29 years",495410
2016,"Quebec","30 to 34 years",515505
2016,"Quebec","35 to 39 years",550535
2016,"Quebec","40 to 44 years",506525
2016,"Quebec","45 to 49 years",519425
2016,"Quebec","50 to 54 years",619435
2016,"Quebec","55 to 59 years",636475
2016,"Quebec","60 to 64 years",562675
2016,"Quebec","65 to 69 years",488175
2016,"Quebec","70 to 74 years",373590
2016,"Quebec","75 to 79 years",256905
2016,"Quebec","80 to 84 years",187840
2016,"Quebec","85 to 89 years",120635
2016,"Quebec","90 to 94 years",53165
2016,"Quebec","95 to 99 years",13035
2016,"Quebec","100 years and over",1850
2016,"Ontario","0 to 4 years",697360
2016,"Ontario","5 to 9 years",756085
2016,"Ontario","10 to 14 years",754530
2016,"Ontario","15 to 19 years",811670
2016,"Ontario","20 to 24 years",894390
2016,"Ontario","25 to 29 years",874350
2016,"Ontario","30 to 34 years",864765
2016,"Ontario","35 to 39 years",842480
2016,"Ontario","40 to 44 years",871875
2016,"Ontario","45 to 49 years",937380
2016,"Ontario","50 to 54 years",1056345
2016,"Ontario","55 to 59 years",989460
2016,"Ontario","60 to 64 years",846145
2016,"Ontario","65 to 69 years",737745
2016,"Ontario","70 to 74 years",528645
2016,"Ontario","75 to 79 years",393010
2016,"Ontario","80 to 84 years",291190
2016,"Ontario","85 to 89 years",188465
2016,"Ontario","90 to 94 years",88390
2016,"Ontario","95 to 99 years",21210
2016,"Ontario","100 years and over",3005
2016,"Manitoba","0 to 4 years",81065
2016,"Manitoba","5 to 9 years",83375
2016,"Manitoba","10 to 14 years",79380
2016,"Manitoba","15 to 19 years",82440
2016,"Manitoba","20 to 24 years",86765
2016,"Manitoba","25 to 29 years",86695
2016,"Manitoba","30 to 34 years",85190
2016,"Manitoba","35 to 39 years",81100
2016,"Manitoba","40 to 44 years",79325
2016,"Manitoba","45 to 49 years",79350
2016,"Manitoba","50 to 54 years",89840
2016,"Manitoba","55 to 59 years",87765
2016,"Manitoba","60 to 64 years",77105
2016,"Manitoba","65 to 69 years",64905
2016,"Manitoba","70 to 74 years",45980
2016,"Manitoba","75 to 79 years",33555
2016,"Manitoba","80 to 84 years",25315
2016,"Manitoba","85 to 89 years",17335
2016,"Manitoba","90 to 94 years",8940
2016,"Manitoba","95 to 99 years",2520
2016,"Manitoba","100 years and over",420
2016,"Saskatchewan","0 to 4 years",73130
2016,"Saskatchewan","5 to 9 years",74460
2016,"Saskatchewan","10 to 14 years",68095
2016,"Saskatchewan","15 to 19 years",67660
2016,"Saskatchewan","20 to 24 years",70060
2016,"Saskatchewan","25 to 29 years",77525
2016,"Saskatchewan","30 to 34 years",77520
2016,"Saskatchewan","35 to 39 years",71590
2016,"Saskatchewan","40 to 44 years",64950
2016,"Saskatchewan","45 to 49 years",63580
2016,"Saskatchewan","50 to 54 years",75245
2016,"Saskatchewan","55 to 59 years",76195
2016,"Saskatchewan","60 to 64 years",67920
2016,"Saskatchewan","65 to 69 years",53230
2016,"Saskatchewan","70 to 74 years",37735
2016,"Saskatchewan","75 to 79 years",29400
2016,"Saskatchewan","80 to 84 years",23120
2016,"Saskatchewan","85 to 89 years",16280
2016,"Saskatchewan","90 to 94 years",8005
2016,"Saskatchewan","95 to 99 years",2285
2016,"Saskatchewan","100 years and over",375
2016,"Alberta","0 to 4 years",266520
2016,"Alberta","5 to 9 years",270715
2016,"Alberta","10 to 14 years",241925
2016,"Alberta","15 to 19 years",240035
2016,"Alberta","20 to 24 years",261835
2016,"Alberta","25 to 29 years",310940
2016,"Alberta","30 to 34 years",333170
2016,"Alberta","35 to 39 years",305505
2016,"Alberta","40 to 44 years",281210
2016,"Alberta","45 to 49 years",269035
2016,"Alberta","50 to 54 years",284305
