"X","fit"
1,0.018326182452383
2,0.06659230695498
3,0.10191389126982
4,0.11771677925845
5,0.118385594423979
6,0.1096347062151
7,0.096123216708667
8,0.08105485073177
9,0.066383128712314
10,0.053148956497981
11,0.041789499049187
12,0.032375057352243
13,0.024774230989459
14,0.018761275804708
15,0.014081398146147
16,0.010487427707594
17,0.007758058519291
18,0.005704854567349
19,0.004172844951851
20,0.003037799255704
21,0.002202072078279
22,0.00159010774804
23,0.001144186714269
24,0.00082068287317
25,0.000586918953808
26,0.000418607884427
27,0.000297819806188
28,0.000211396110753
29,0.000149730189134
30,0.000105841261787
31,7.46778409554949e-05
32,5.25983179138212e-05
33,3.69864509106588e-05
34,2.59685201488002e-05
35,1.82064265847881e-05
36,1.27470903972249e-05
37,8.91331245966853e-06
38,6.22499658997633e-06
39,4.34249018810284e-06
40,3.02596564560886e-06
41,2.10638769937432e-06
42,1.46481847063118e-06
43,1.01770269167467e-06
44,7.06429240437956e-07
45,4.89942092563034e-07
46,3.39520272563121e-07
47,2.35096949685598e-07
48,1.62668352343687e-07
49,1.12472796187646e-07
50,7.77128786877412e-08
51,5.36601084677457e-08
52,3.70283537165506e-08
53,2.55359592360449e-08
54,1.76000896079387e-08
55,1.21236100047994e-08
56,8.34665303539595e-09
57,5.7433400257878e-09
58,3.94999455366474e-09
59,2.71528766138118e-09
60,1.86564841353487e-09
61,1.28128341270184e-09
62,8.79566308675805e-10
63,6.0353999575824e-10
64,4.13964973411396e-10
65,2.83822632063391e-10
66,1.94518623430895e-10
67,1.33263733381739e-10
68,9.12647735162864e-11
69,6.24800211568299e-11
70,4.27590185481108e-11
71,2.92530444312433e-11
72,2.00064409483502e-11
73,1.36783917525918e-11
74,9.34896604576352e-12
75,6.38800123908823e-12
76,4.36350955368425e-12
77,2.97972757579146e-12
78,2.03426164802067e-12
79,1.38844491459622e-12
80,9.47464329215109e-13
81,6.46260822634304e-13
82,4.40758540776187e-13
83,3.00426350463567e-13
84,2.04947170345804e-13
85,1.39555034195382e-13
